管理番号,事業場名,営業所,変電所,線,電柱番号
618,佐賀三根工場（昭和金属工業㈱）,鳥栖,上峰,中津隈,３５９ヒ１１１
619,東脊振第一工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３３７フ６９１
620,東脊振第二工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３３７フ５９１
621,東脊振第三工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３３７フ６９２
622,東脊振第四工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３３７フ８７４
623,吉野ヶ里総合第一工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３４２ハ６１２
624,吉野ヶ里第二工場（昭和金属伊万里㈱）,佐賀,神崎,仁井山,３４２ハ７１１
625,吉野ヶ里第三工場(㈱岩倉製作所),佐賀,神崎,仁井山,３４２ハ７１２
626,昭和金属工業（株）武雄工場,武雄,伊万里,桃川,４５７ハ３６４
627,伊万里工場(昭和金属工業㈱),武雄,伊万里,松浦,１４２ス１４２
628,昭和金属伊万里㈱,武雄,伊万里,松浦,１４２ス１０１
629,金型メンテナンスサービス（株）,武雄,岩屋,大川,４４４ハ６０１
630,長崎東彼杵工場(昭和金属工業㈱),大村,東彼杵,テクノ,３２０フ６７２
631,長崎東彼杵工場(昭和金属伊万里㈱),大村,東彼杵,テクノ,３２０フ６８１
632,長崎東彼杵工場(㈱岩倉製作所),大村,東彼杵,テクノ,３２０フ６９２
633,長崎第３工場(㈱岩倉製作所),大村,東彼杵,テクノ,３２０フ６８２
634,福岡工場(昭和金属工業㈱),飯塚,直方,勝野,２２０フ０５５
635,福岡第２工場(昭和金属工業㈱),飯塚,直方,勝野,２２０フ２４３
636,若宮工場(昭和金属工業㈱),飯塚,有木,水原,１９３フ３８２
637,福岡工場(昭和金属伊万里㈱),飯塚,直方,勝野,２２０フ１４２
638,若宮工場(昭和金属伊万里㈱),飯塚,有木,水原,１９３フ３９１
639,福岡工場(㈱岩倉製作所),飯塚,直方,勝野,２２０フ０４８
640,福岡第２工場(岩倉製作所㈱),飯塚,直方,勝野,２２０フ１４１
641,福岡工場(金型ﾒﾝﾃﾅﾝｽｻｰﾋﾞｽ㈱),飯塚,直方,勝野,２２０フ０４１
643,昭和金属グループ大分管理棟,中津,,,２４２セ２０１
644,（株）岩倉製作所大分工場,中津,,,２４２セ０１１
645,昭和金属工業（株）中津工場,中津,,,２４２ケ４９１
646,昭和金属伊万里（株）大分工場,中津,,,２４２セ０２１
647,新メイワ技研（株）大分工場,,,,
648,昭和金属工業（株）大分工場,中津,,,２４２セ２０１
649,金型メンテナンスサービス（株）大分工場,,,,
652,ドラッグコスモス町田店,唐津,神田,旭ヶ丘,０５６キ５５１
654,白石リサイクルセンター(㈱ナラタ),武雄,白石,干拓,５７６チ４０１
656,伊万里加工センター,武雄,伊万里,南波多,４１５ヘ３４２
657,有限会社　白石缶詰工場,武雄,白石,干拓,５７７ヘ６２１
658,有田町立西有田中学校,武雄,有田,窯業,４６９タ０６１
659,佐賀工場(溶接金網工場),佐賀,東多久,古賀山,３７７ツ１４１
660,佐賀工場(電気製罐工場),佐賀,東多久,古賀山,３７７ツ１４１
661,株式会社京都屋,武雄,武雄,富岡,５０６セ７４３
662,呼子漁獲物加工処理施設,唐津,横竹,朝市,１４８セ７５３
663,唐津市呼子浄水センター,唐津,横竹,朝一,００２フ４５２
664,ドラッグコスモス唐津鏡店,唐津,浜玉,松南,０５８フ２６１
665,佐賀県立唐津青翔高等学校,唐津,大鶴,値賀,０３５ハ５０２
666,呼子台場の湯（佐賀玄海漁業協同組）,唐津,横竹,朝市,１４８セ７６３
668,㈱イケダ　八女営業所（旧九十九紙源センター）,八女,羽犬塚,福島,６９８ハ００３
669,JA糸島デイサービスセンターひまわり,福岡西,前原,産宮,２１７ク３８１
670,唐津市水産会館,唐津,唐津,大島,０３０サ６９２
671,吉野ヶ里第四工場（昭和金属工業㈱）,佐賀,神崎,仁井山,３４２ハ８０２
672,木須川救内水排水機場,,,,
673,黒塩川救内水排水機場,,,,
674,立川救内水排水機場,,,,
675,環境技研クリーンエネルギー発電所,福岡西,前原,雷山,２６３ハ５５３
676,有料老人ホーム　ケア・ラポート野間,福岡,野間,新町,２２６ツ９２１
677,有料老人ホーム　ケア・ラポート南風台,福岡西,前原,長糸,２３９ヒ９５１
678,ワン・ツウ スポーツクラブ中央,福岡西,前原,北,２１６ケ９７１
679,㈱環境技研,福岡西,前原,北,２１６ケ８７１
680,㈱カワセテック,唐津,徳須恵,成淵,０８８フ０３３
682,公栄工業株式会社,佐賀,,,３４８ハ０８３
683,金子産業株式会社,唐津,唐津,藤崎,０２９シ３６１
684,ケア・オアシス南風台,福岡西,前原,長糸,２３９ヒ９５１
687,株式会社まるきん糸島店,福岡西,深江,佐波,２６２フ３９２
689,地域密着型特別老人ホームみなかぜ,福岡西,前原,長糸,２４０ア０９１
691,今津太陽光発電所,福岡西,今宿,北崎,１７１ヒ５５１
692,本社工場(㈱エルアン),唐津,徳須恵,山本,０８８ヘ１９４
693,令和プレス,武雄,伊万里,南波多,４２３ヒ１４２
695,相知厳木斎場,,,,
696,肥前斎場,唐津,大鶴,切木,０５０ヘ９４２
697,(株)森口精密,,神埼,城原,３４４フ８８２
698,ＪＡからつ　山本斎場,,,,
699,古湯温泉おんくり,佐賀,小関,古湯,１９９ヒ５８２
700,ソーラーパーク伊万里,武雄,山代,長浜,４３９ハ０４１
701,ドラッグコスモス相知店,唐津,岩屋,相知,１２２フ６０３
706,福岡工場屋根太陽光発電システム(大和スレート㈱),福岡西,今宿,桑原,１９６ア２６２
707,神集島旧体育館,,,,
711,ドラッグコスモス佐志店,唐津,唐津,大良,０３９ハ４０２
712,唐津水産加工団地協同組合(ヤマト運輸唐津西),唐津,唐津,藤崎,０２９ス０８１
717,昭和金属工業㈱　長崎波佐見工場,,波佐見,下波佐見,２３４フ９４４
718,特別養護老人ホーム　美の里,福岡西,今宿,桑原,１９５エ２１１
719,唐津水産加工団地協同組合冷蔵庫,,,,
721,唐津地区いちごパッケージセンター,唐津,浜玉,横田,０７５ヘ１４１
722,㈱大原老舗　和多田店,唐津,元石,町田,０５７タ７１２
723,唐津市水産業活性化支援センター,唐津,唐津,唐房,０１５フ４７３
726,株式会社タキ倉庫九州営業所,,,,
727,ドラッグコスモス和多田駅店,唐津,元石,和多田,０５７シ０４１
728,めぐりあいらんど小川,,,,
729,ドラッグコスモス浜玉店,唐津,浜玉,砂子,０６０ア５３１
730,大山工業有限会社,唐津,土谷,塩浜,６８５ハ５１１
732,バニーズ発電所,,,,
733,ザ・クイーンズヒルゴルフクラブ,福岡西,前原,雷山,２４０チ５３１
734,ドラッグコスモス唐津店,唐津,元石,城内,０４０テ３７１
735,玄海丸橋本店,福岡西,壱岐,賀茂,２２２テ４８３
739,医療法人ロコメディカル江口病院,,,,
740,ドラッグコスモス山本店,唐津,徳須恵,山本,０８８ヘ７５３
741,唐津港湾合同庁舎,唐津,唐津,東港,０３０タ６２１
742,昭和金属工業㈱長崎波佐見第２工場,大村,波佐見,下波佐見,２３４ヘ０４２
743,唐津市青少年支援センター,唐津,唐津,山下,０４０サ５１１
744,呼子公民館,唐津,横竹,呼子,００５ヒ２８５
745,田尻太陽光発電所,福岡西,今宿,桑原,１７１ヘ９９１
746,重松工業株式会社,唐津,浜玉,浜崎,０４２ツ６７１
747,ミナノ精工株式会社　本社,佐賀,東小城,織島,２１８ハ３７１
748,itp福岡工場,,山田,樋口,４８９フ１１３
749,玄海丸大野城御笠川店,,西原,御笠,２５３ア５４１
750,㈱唐津魚市場　加工部,唐津,唐津,藤崎,０２９ス５６４
751,さつき幼稚園,福岡西,重留,梅林,２７１ハ５２２
752,浜玉市民センタ-,唐津,浜玉,浜崎,０４２テ６３１
753,丸久鋼材　唐津営業所,,,,
755,紙資源本社,唐津,箱崎,ふ頭4号,１３８キ８０１
756,唐津砕石唐津移動式プラント工場,,,,
757,オートバックス唐津店,唐津,元石,和多田,０７４ハ９２５
758,西唐津SS,唐津,唐津,東港,０３０タ２８４
762,毎日屋ドライクリーニング工場,武雄,武雄,本町,５０７カ３７３
763,唐津くん煙工房　新店舗,唐津,浜玉,砂子,０５７ヒ８８１
764,佐賀県立武雄高等学校,武雄,武雄,昭和,５０７タ４２３
765,西唐津公民館,唐津,唐津,東港,０３０タ８１１
766,トリゼンフーズ(株)　唐津養鶏場,,,,
767,トリゼンオーシャンズ(株)　堆肥センター,,,,
768,全日食チェーン　有浦店,,,,
769,はたしま百花苑,唐津,徳須恵,成渕,０８７ヘ７８１
770,ＪＡからつ佐賀牛いろはファーム,,大鶴,切木,０６７ヘ８１１
771,唐津市西部学校給食センター,唐津,横竹,打上,０１２ヘ７７１
772,東洋ケミカル　唐津工場,,,,
773,東洋ケミカル　唐津第２工場,,,,
