管理番号,事業場名,営業所,変電所,線,電柱番号
531,野菜準低温倉庫(JAからつ),唐津,浜玉,砂子,０５９エ６１２
532,㈱野口製作所,,,,
538,唐津市呼子町高齢者福祉センター,唐津,横竹,朝市,００２フ２５１
545,(有)内野金網店,唐津,元石,和多田,０７４ヘ６２５
550,（株）コーユービジネス　九州ｻﾎﾟｰﾄｾﾝﾀｰ（旧）九州コーユー　サポートセンター,佐賀,鍋島,荻野,２３９ヒ１０３
551,㈱紙資源　博多支店,福岡東,板付,東金の隈,２２９テ５０３
552,（株）オーテック　伊万里工場,武雄,土谷,福島,４８４ヘ５６１
555,佐志公民館,唐津,唐津,唐房,０２９カ４３２
556,森永整形外科リハビリテーション,佐賀,,,２３１サ７４２
557,玄海町南部浄化センター,唐津,大鶴,値賀,０３５ハ５４２
558,松の井旅館,唐津,元石,栄町,０４１チ３１１
559,５号倉庫,唐津,,,０２９ス８４１
560,佐賀県西部家畜保健衛生所,武雄,武雄,高橋,５０７ウ８７３
561,（株）ホリデン生コン千々賀工場,唐津,徳須恵,山本,０８８ヒ３８１
564,松浦東部地区ﾗｲｽｾﾝﾀｰ（JAからつ）,唐津,浜玉,横田,０７６ヒ５７３
565,昭和幼稚園,唐津,元石,城内,０４０ス７５１
566,ミナノ精工㈱唐津事業所,唐津,岩屋,浪瀬,１３９ヒ４２１
568,唐津北部衛生処理センター,,,,
569,唐津港フェリーふ頭,唐津,,,０３０チ１０１
571,株式会社　サンヨウ（旧マルスイ）,唐津,唐津,水産,０３０タ０２２
572,ＪＡからつ鏡山支所,唐津,浜玉,横田,０７５ヘ２３１
574,物流サービス部　物流サービス課,唐津,,,０５９ウ５９１
576,脇田川樋門,,,,
576,新田川排水機場(第１・第２),,,,
576,波多津川排水機場,,,,
577,佐賀県伊万里港ｺﾝﾃﾅﾀｰﾐﾅﾙ,武雄,,,４８４ヘ３３１
579,㈱ブルーム,唐津,浜玉,砂子,０５９ウ７８２
580,九州工場(三和機工㈱),佐賀,東多久,立山,３７６ク３９１
582,フリービット（株）ｼﾙｸﾎｯﾄﾗｲﾝｽﾞ(松浦通運㈱),唐津,元石,鬼塚,０５７ツ５９１
583,唐津セロリー㈱,唐津,岩屋,相知,１２２ハ０８３
584,高砂工業㈱伊万里工場,武雄,山代,長浜,４３９ハ０４１
587,瀬戸商店相知支店,唐津,岩屋,相知,１３０ヒ６３２
589,宇都宮病院,唐津,岩屋,厳木,１３１ヒ８３２
590,たなべｸﾘﾆｯｸ産科婦人科（発電機あり）,唐津,神田,坊主町,０４０チ６２４
592,特別養護老人ホーム　栄荘,唐津,元石,栄町,０４０テ８５１
593,アクアクララ福岡　那珂川工場,唐津,上城水,片縄北,２７４セ４８４
594,㈱イクソス,唐津,岩屋,山崎,１２２ヘ５２１
595,(有)辻製作所,佐賀,牛津,芦刈,２５９ハ３９３
596,緑生館　総合看護学科,鳥栖,村田,西新,３０５ツ１６１
597,児童養護施設　慈光園,,,,
598,やすらぎ二丈会館（JA糸島）,福岡西,深江配電塔,相模,２６１ヘ６９２
599,唐津市浜玉市民センター　別館,唐津,浜玉,浜崎,０４３タ０３１
601,玄海海中展望塔,唐津,横竹,名護屋,１６１ヒ８６１
602,金子産業（株）鷹島事業所,唐津,土谷,青,６７１ハ３８１
603,玄海丸筑紫通り店,福岡,竹下,五十川,２０４タ８３２
604,共乾久保田支所(佐賀県有明海漁協),佐賀,牛津,久富,２６８フ７３５
606,ホテル　桜,武雄,嬉野,岩屋,５３６チ６８１
607,北部浄化センター,唐津,横竹,仮屋,０１０フ２８１
608,玄海町薬用植物栽培研究所,唐津,横竹,名護屋,００９ヘ１０４
609,ＪＡからつ　上場いちごパッケージセンター,唐津,大鶴,値賀,０２５フ６８２
610,唐津市和多田浄水場,唐津,,,０７４ハ８４１
612,佐賀県立唐津商業高等学校,唐津,元石,和多田,０５７カ３１３
614,佐賀玄海漁連地方卸売市場,唐津,唐津,大島,０３０サ２９２
615,御船山楽園ホテル,武雄,武雄,橘,５１６ハ０５１
616,御船山楽園,武雄,武雄,橘,５１５ケ５２１
617,有限会社　魚半,唐津,浜玉,浜崎,０４２テ２２１
